preload = 31
latAmp = 100
contactDistance = 25
run = 037
temperature = 21.6
cantilever = 529b02
humidity = 49.2
sample = sps06
norAmp = 100
endIndex = 13771
startIndex = 13183
pulloffAngle = 70.0
<data>
forceLateralMicroNewton forceNormalMicroNewton  positionLateralMicron   positionNormalMicron    time                    voltageForceLateral     voltageForceNormal      voltagePositionX        voltagePositionY        
0.268379778693          -0.292688083482         0.04882812              0.07019043              0.0                     -0.07904053             -0.0994873              0.007019043             0.004882812             
0.290140295784          -0.283709943973         0.04577637              0.07324219              0.0156                  -0.08544922             -0.09643555             0.007324219             0.004577637             
0.277705709739          -0.289994656339         0.05187988              0.07629395              0.0312                  -0.08178711             -0.09857178             0.007629395             0.005187988             
0.294285146481          -0.279220859509         0.04272461              0.07019043              0.0312                  -0.08666992             -0.09490967             0.007019043             0.004272461             
0.283922985784          -0.281914316071         0.04577637              0.07324219              0.0469                  -0.08361816             -0.0958252              0.007324219             0.004577637             
0.263198698345          -0.296279339286         0.04577637              0.07019043              0.0625                  -0.07751465             -0.100708               0.007019043             0.004577637             
0.287031640784          -0.282812115313         0.04577637              0.07629395              0.0625                  -0.08453369             -0.09613037             0.007629395             0.004577637             
0.264234894042          -0.273833946384         0.04577637              0.07019043              0.0781                  -0.07781982             -0.09307861             0.007019043             0.004577637             
0.282886790087          -0.29089245558          0.04577637              0.07324219              0.0937                  -0.08331299             -0.09887695             0.007324219             0.004577637             
0.287031640784          -0.287301199777         0.04272461              0.07324219              0.0937                  -0.08453369             -0.09765625             0.007324219             0.004272461             
0.284959215436          -0.296279339286         0.04882812              0.07629395              0.1094                  -0.08392334             -0.100708               0.007629395             0.004882812             
0.27252462939           -0.289994656339         0.03967285              0.07629395              0.125                   -0.08026123             -0.09857178             0.007629395             0.003967285             
0.295321376132          -0.285505571875         0.04577637              0.07629395              0.125                   -0.0869751              -0.0970459              0.007629395             0.004577637             
0.280814364739          -0.286403371116         0.04882812              0.0793457               0.1406                  -0.08270264             -0.09735107             0.00793457              0.004882812             
0.26941597439           -0.301666370089         0.04577637              0.06408691              0.1562                  -0.0793457              -0.1025391              0.006408691             0.004577637             
0.289104066132          -0.285505571875         0.04882812              0.07324219              0.1562                  -0.08514404             -0.0970459              0.007324219             0.004882812             
0.298429997178          -0.283709943973         0.04882812              0.07629395              0.1719                  -0.08789062             -0.09643555             0.007629395             0.004882812             
0.274597054739          -0.300768482589         0.04882812              0.07629395              0.1875                  -0.08087158             -0.1022339              0.007629395             0.004882812             
0.287031640784          -0.298972707589         0.05187988              0.07324219              0.1875                  -0.08453369             -0.1016235              0.007324219             0.005187988             
0.290140295784          -0.28011865875          0.04882812              0.07019043              0.2031                  -0.08544922             -0.09521484             0.007019043             0.004882812             
0.258017617997          -0.295381451786         0.05187988              0.0793457               0.2031                  -0.07598877             -0.1004028              0.00793457              0.005187988             
0.289104066132          -0.284607743214         0.05493164              0.07019043              0.2187                  -0.08514404             -0.09674072             0.007019043             0.005493164             
0.273560859042          -0.285505571875         0.04882812              0.07324219              0.2344                  -0.08056641             -0.0970459              0.007324219             0.004882812             
0.27563328439           -0.281914316071         0.04577637              0.07629395              0.2344                  -0.08117676             -0.0958252              0.007629395             0.004577637             
0.289104066132          -0.276527402946         0.04577637              0.07629395              0.25                    -0.08514404             -0.09399414             0.007629395             0.004577637             
0.280814364739          -0.283709943973         0.05187988              0.07324219              0.2656                  -0.08270264             -0.09643555             0.007324219             0.005187988             
0.277705709739          -0.287301199777         0.04577637              0.07324219              0.2656                  -0.08178711             -0.09765625             0.007324219             0.004577637             
