dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30-a00.data	231	247	429
p30-a01.data	230	246	418
p30-a02.data	227	244	409
p30-a03.data	222	238	400
p30-a04.data	219	235	392
p30-a05.data	219	235	387
p30-a06.data	213	229	377
p30-a07.data	213	229	371
p30-a08.data	211	226	364
p30-a09.data	209	225	357
p30-a10.data	206	223	349
p30-a20.data	204	220	303
p30-a30.data	202	218	296
p30-a40.data	197	214	289
p30-a50.data	197	214	284
p30-a60.data	197	212	274
p30-a70.data	194	211	266
p30-a80.data	195	210	258
p30-a90.data	190	206	252
p33-a00.data	235	265	471
p33-a01.data	235	263	460
p33-a02.data	231	263	452
p33-a03.data	229	259	447
p33-a04.data	227	262	438
p33-a05.data	222	254	428
p33-a06.data	224	254	425
p33-a07.data	224	254	418
p33-a08.data	221	252	410
p33-a09.data	219	249	406
p33-a10.data	219	248	400
p33-a20.data	217	246	364
p33-a30.data	214	243	341
p33-a40.data	214	242	334
p33-a50.data	211	240	325
p33-a60.data	210	239	317
p33-a70.data	206	237	307
p33-a80.data	206	235	299
p33-a90.data	205	232	294
p36-a00.data	238	281	506
p36-a01.data	234	279	499
p36-a02.data	234	278	484
p36-a03.data	228	273	480
p36-a04.data	225	269	471
p36-a05.data	224	268	464
p36-a06.data	223	268	459
p36-a07.data	220	267	455
p36-a08.data	216	263	448
p36-a09.data	213	258	439
p36-a10.data	214	257	432
p36-a20.data	209	255	394
p36-a30.data	208	253	373
p36-a40.data	204	249	362
p36-a50.data	203	246	347
p36-a60.data	202	246	338
p36-a70.data	198	242	326
p36-a80.data	199	242	320
p36-a90.data	198	241	317
