                Data	          Index	          Index	          Index	
                File	        Contact	            Max	            Max	
                Name	               	        Preload	       Adhesion	
sws10_st_20090220_145505	        950	       1082	       2267
sws10_st_20090220_145653	        939	       1070	       2378
sws10_st_20090220_145742	        939	       1122	       2703
sws10_st_20090220_145833	        939	       1141	       2674
sws10_st_20090220_145941	        965	       1185	       2707
sws10_st_20090220_150027	        965	       1223	       2798
sws10_st_20090220_150745	        882	       1014	       1936
sws10_st_20090220_150827	        953	       1117	       2129
sws10_st_20090220_150910	        953	       1131	       2237
sws10_st_20090220_150953	        946	       1230	       2480
sws10_st_20090220_151035	        927	       1241	       2449
sws10_st_20090220_151117	        927	       1185	       2567
sws10_st_20090220_151805	        962	       1080	       1875
sws10_st_20090220_151845	        939	       1084	       1992
sws10_st_20090220_151950	        948	       1122	       2091
sws10_st_20090220_152032	        918	       1130	       3235
sws10_st_20090220_152113	        960	       1186	       3228
sws10_st_20090220_152157	        962	       1257	       3337
sws10_st_20090220_152531	        915	       1023	       1616
sws10_st_20090220_152611	       1009	       1136	       1832
sws10_st_20090220_152654	        995	       1136	       1828
sws10_st_20090220_152735	        965	       1148	       1913
sws10_st_20090220_152819	        980	       1177	       2061
sws10_st_20090220_152902	       1008	       1218	       2116
sws10_st_20090220_153512	        987	       1047	       1532
sws10_st_20090220_153557	        985	       1074	       1579
sws10_st_20090220_153641	       1009	       1122	       1705
sws10_st_20090220_153722	        986	       1136	       1804
sws10_st_20090220_153810	       1019	       1191	       1976
sws10_st_20090220_153855	        997	       1191	       2030
sws10_st_20090220_154355	        906	       1026	       1419
sws10_st_20090220_154501	        938	       1080	       1495
sws10_st_20090220_154542	        953	       1117	       1578
sws10_st_20090220_154634	        943	       1131	       1668
sws10_st_20090220_154718	        975	       1187	       1764
sws10_st_20090220_154801	        966	       1204	       1814
sws10_st_20090220_160924	        957	       1059	       1510
sws10_st_20090220_161005	       1036	       1163	       1684
sws10_st_20090220_161045	       1011	       1164	       1766
sws10_st_20090220_161125	       1015	       1206	       1885
sws10_st_20090220_161208	       1038	       1253	       2125
sws10_st_20090220_161249	       1024	       1294	       2198
sws10_st_20090220_161648	       1005	       1156	       1670
sws10_st_20090220_161729	        989	       1161	       1745
sws10_st_20090220_161847	        995	       1178	       1795
sws10_st_20090220_161931	        986	       1183	       1931
sws10_st_20090220_162013	        996	       1223	       1999
sws10_st_20090220_162056	       1000	       1261	       2053
sws10_st_20090220_162841	        995	       1136	       1663
sws10_st_20090220_162923	        974	       1124	       1850
sws10_st_20090220_163004	        973	       1154	       1882
sws10_st_20090220_163044	        959	       1160	       1919
sws10_st_20090220_163128	       1011	       1245	       2020
sws10_st_20090220_163211	       1016	       1298	       2104
sws10_st_20090220_163639	        939	       1127	       1781
sws10_st_20090220_163721	        934	       1155	       1828
sws10_st_20090220_163804	        939	       1160	       1846
sws10_st_20090220_163845	        920	       1160	       1865
sws10_st_20090220_163929	        970	       1272	       2132
sws10_st_20090220_164012	        965	       1266	       2099
sws10_st_20090220_164642	        957	       1061	       1578
sws10_st_20090220_164723	        973	       1103	       1612
sws10_st_20090220_164816	        962	       1110	       1666
sws10_st_20090220_164920	        986	       1150	       1710
sws10_st_20090220_165007	        997	       1185	       1734
sws10_st_20090220_165059	        981	       1191	       1798
