sws10_st_20090220_145505	-25.0	-1.608	 5.771	
sws10_st_20090220_145653	-25.0	-1.665	 6.484	
sws10_st_20090220_145742	-25.0	-3.108	 10.121	
sws10_st_20090220_145833	-25.0	-3.036	 10.591	
sws10_st_20090220_145941	-25.0	-2.877	 11.103	
sws10_st_20090220_150027	-25.0	-2.732	 11.420	
sws10_st_20090220_150745	-20.0	-0.826	 3.911	
sws10_st_20090220_150827	-20.0	-1.266	 4.753	
sws10_st_20090220_150910	-20.0	-1.257	 5.303	
sws10_st_20090220_150953	-20.0	-2.381	 8.156	
sws10_st_20090220_151035	-20.0	-2.240	 8.232	
sws10_st_20090220_151117	-20.0	-2.245	 8.852	
sws10_st_20090220_151805	-15.0	-0.935	 3.298	
sws10_st_20090220_151845	-15.0	-1.363	 4.255	
sws10_st_20090220_151950	-15.0	-1.785	 5.399	
sws10_st_20090220_152032	-15.0	-4.215	 12.517	
sws10_st_20090220_152113	-15.0	-3.580	 11.572	
sws10_st_20090220_152157	-15.0	-3.453	 12.063	
sws10_st_20090220_152531	-10.0	-0.583	 2.481	
sws10_st_20090220_152611	-10.0	-0.769	 2.776	
sws10_st_20090220_152654	-10.0	-1.006	 3.345	
sws10_st_20090220_152735	-10.0	-1.129	 3.860	
sws10_st_20090220_152819	-10.0	-1.550	 4.795	
sws10_st_20090220_152902	-10.0	-1.594	 5.128	
sws10_st_20090220_153512	 -5.0	-0.799	 1.996	
sws10_st_20090220_153557	 -5.0	-0.863	 2.328	
sws10_st_20090220_153641	 -5.0	-0.997	 2.822	
sws10_st_20090220_153722	 -5.0	-1.406	 3.659	
sws10_st_20090220_153810	 -5.0	-2.019	 4.895	
sws10_st_20090220_153855	 -5.0	-2.132	 5.584	
sws10_st_20090220_154355	  0.0	-0.190	 1.472	
sws10_st_20090220_154501	  0.0	-0.157	 1.634	
sws10_st_20090220_154542	  0.0	-0.199	 1.858	
sws10_st_20090220_154634	  0.0	-0.173	 2.059	
sws10_st_20090220_154718	  0.0	-0.132	 2.247	
sws10_st_20090220_154801	  0.0	-0.144	 2.552	
sws10_st_20090220_160924	  5.0	-1.121	 2.568	
sws10_st_20090220_161005	  5.0	-1.449	 3.152	
sws10_st_20090220_161045	  5.0	-1.659	 3.824	
sws10_st_20090220_161125	  5.0	-2.024	 4.779	
sws10_st_20090220_161208	  5.0	-2.900	 6.897	
sws10_st_20090220_161249	  5.0	-3.339	 8.488	
sws10_st_20090220_161648	 10.0	-1.684	 3.594	
sws10_st_20090220_161729	 10.0	-2.067	 4.553	
sws10_st_20090220_161847	 10.0	-2.074	 4.800	
sws10_st_20090220_161931	 10.0	-3.346	 7.759	
sws10_st_20090220_162013	 10.0	-3.431	 8.619	
sws10_st_20090220_162056	 10.0	-3.426	 9.214	
sws10_st_20090220_162841	 15.0	-2.471	 4.989	
sws10_st_20090220_162923	 15.0	-4.024	 8.950	
sws10_st_20090220_163004	 15.0	-3.955	 9.372	
sws10_st_20090220_163044	 15.0	-3.870	 9.855	
sws10_st_20090220_163128	 15.0	-3.703	 10.194	
sws10_st_20090220_163211	 15.0	-3.600	 10.650	
sws10_st_20090220_163639	 20.0	-3.719	 9.274	
sws10_st_20090220_163721	 20.0	-3.801	 10.212	
sws10_st_20090220_163804	 20.0	-3.691	 10.489	
sws10_st_20090220_163845	 20.0	-3.706	 11.132	
sws10_st_20090220_163929	 20.0	-4.758	 15.164	
sws10_st_20090220_164012	 20.0	-4.145	 14.015	
sws10_st_20090220_164642	 25.0	-3.914	 9.220	
sws10_st_20090220_164723	 25.0	-3.794	 9.522	
sws10_st_20090220_164816	 25.0	-3.794	 10.247	
sws10_st_20090220_164920	 25.0	-3.820	 10.736	
sws10_st_20090220_165007	 25.0	-3.596	 10.917	
sws10_st_20090220_165059	 25.0	-3.649	 11.846	
