         Sample	     Cantilever	     Cantilever	          Stage	        Preload	     Microwedge	         Spring	
		     Deflection	        Preload	          Force	     Deflection	       Constant	
		           (um)	           (um)	           (uN)	           (um)	          (N/m)	
           sws6	         529b02	          0.523	          1.529	          0.345	          1.006	          0.343	
           sws6	         529b02	          1.030	          3.000	          0.679	          1.970	          0.345	
           sws6	         529b02	          1.653	          3.156	          1.089	          1.503	          0.725	
           sws6	         529b02	          2.331	          4.523	          1.536	          2.192	          0.701	
           sws6	         529b02	          2.967	          5.161	          1.955	          2.193	          0.892	
           sws6	         529b02	          3.692	          6.195	          2.433	          2.503	          0.972	
           sws6	         529b02	          4.383	          7.233	          2.888	          2.850	          1.013	
           sws6	         529b02	          5.067	          8.310	          3.339	          3.243	          1.030	
           sws6	         529b02	          5.798	          9.216	          3.821	          3.418	          1.118	
           sws6	         529b02	          6.484	         10.211	          4.273	          3.728	          1.146	
           sws6	         529b02	          7.203	         11.316	          4.747	          4.113	          1.154	
           sws6	         529b02	          7.834	         12.268	          5.162	          4.434	          1.164	
           sws6	         529b02	          8.673	         13.385	          5.715	          4.712	          1.213	
           sws6	         529b02	          9.249	         14.371	          6.095	          5.121	          1.190	
           sws6	         529b02	          9.890	         15.393	          6.517	          5.503	          1.184	
           sws6	         529b02	         10.278	         16.336	          6.773	          6.058	          1.118	
