fileName	anglePitch	forceMaxAdhesion	forceMaxShear
a0.0.data	 -6.5	-1.789	 5.655	
a1.0.data	 -6.5	-1.935	 5.648	
a10.0.data	 -6.5	-0.948	 2.799	
a2.0.data	 -6.5	-1.509	 4.665	
a20.0.data	 -6.5	-0.927	 2.077	
a3.0.data	 -6.5	-1.096	 3.905	
a30.0.data	 -6.5	-0.852	 1.873	
a4.0.data	 -6.5	-1.042	 3.643	
a40.0.data	 -6.5	-0.871	 1.624	
a5.0.data	 -6.5	-1.073	 3.630	
a50.0.data	 -6.5	-0.888	 1.554	
a6.0.data	 -6.5	-1.090	 3.444	
a60.0.data	 -6.5	-0.960	 1.358	
a7.0.data	 -6.5	-1.038	 3.297	
a70.0.data	 -6.5	-1.065	 1.113	
a8.0.data	 -6.5	-1.032	 3.183	
a80.0.data	 -6.5	-1.295	 0.840	
a9.0.data	 -6.5	-0.974	 3.086	
a90.0.data	 -6.5	-1.670	 0.375	
