fileName	anglePitch	forceMaxAdhesion	forceMaxShear	preload	angle
../033-20100302-sws17-ls/data/separated/p33-1-a40.data	-3	-3.624	3.216	33	40
../033-20100302-sws17-ls/data/separated/p33-1-a50.data	-3	-3.899	3.398	33	50
../033-20100302-sws17-ls/data/separated/p33-1-a60.data	-3	-2.871	2.457	33	60
../033-20100302-sws17-ls/data/separated/p33-1-a70.data	-3	-1.964	1.718	33	70
../033-20100302-sws17-ls/data/separated/p33-1-a80.data	-3	-1.999	1.065	33	80
../033-20100302-sws17-ls/data/separated/p33-1-a90.data	-3	-2.317	0.252	33	90
../033-20100302-sws17-ls/data/separated/p33-2-a00.data	-3	0.093	5.428	33	0
../033-20100302-sws17-ls/data/separated/p33-2-a01.data	-3	0.015	5.377	33	1
../033-20100302-sws17-ls/data/separated/p33-2-a02.data	-3	-0.258	5.369	33	2
../033-20100302-sws17-ls/data/separated/p33-2-a03.data	-3	-0.362	5.139	33	3
../033-20100302-sws17-ls/data/separated/p33-2-a04.data	-3	-0.467	4.988	33	4
../033-20100302-sws17-ls/data/separated/p33-2-a05.data	-3	-0.7	4.944	33	5
../033-20100302-sws17-ls/data/separated/p33-2-a06.data	-3	-0.839	4.858	33	6
../033-20100302-sws17-ls/data/separated/p33-2-a07.data	-3	-0.978	4.758	33	7
../033-20100302-sws17-ls/data/separated/p33-2-a08.data	-3	-0.982	4.463	33	8
../033-20100302-sws17-ls/data/separated/p33-2-a09.data	-3	-0.981	4.305	33	9
../033-20100302-sws17-ls/data/separated/p33-2-a10.data	-3	-1.006	4.201	33	10
../033-20100302-sws17-ls/data/separated/p33-2-a20.data	-3	-2.104	3.864	33	20
../033-20100302-sws17-ls/data/separated/p33-2-a30.data	-3	-3.546	3.105	33	30
../033-20100302-sws17-ls/data/separated/p33-2-a40.data	-3	-3.586	3.168	33	40
../033-20100302-sws17-ls/data/separated/p33-2-a50.data	-3	-3.739	3.313	33	50
../033-20100302-sws17-ls/data/separated/p33-2-a60.data	-3	-3	2.587	33	60
../033-20100302-sws17-ls/data/separated/p33-2-a70.data	-3	-1.97	1.689	33	70
../033-20100302-sws17-ls/data/separated/p33-2-a80.data	-3	-2.116	1.075	33	80
../033-20100302-sws17-ls/data/separated/p33-2-a90.data	-3	-2.345	0.307	33	90
../033-20100302-sws17-ls/data/separated/p33-3-a00.data	-3	0.123	5.404	33	0
../033-20100302-sws17-ls/data/separated/p33-3-a01.data	-3	-0.031	5.376	33	1
../033-20100302-sws17-ls/data/separated/p33-3-a02.data	-3	-0.396	5.439	33	2
../033-20100302-sws17-ls/data/separated/p33-3-a03.data	-3	-0.394	5.157	33	3
../033-20100302-sws17-ls/data/separated/p33-3-a04.data	-3	-0.672	5.132	33	4
../033-20100302-sws17-ls/data/separated/p33-3-a05.data	-3	-0.703	4.932	33	5
